Nombre;Año;Axis;Diametro;Peso
Bronze Sestertius of Antoninus Pius- Rome- AD 143 - AD 144. 1944.100.48250 ;AD-143;12;35.0;28.97
Silver Denarius of Marcus Aurelius- Rome- AD 171 - AD 172. 1956.127.1931 ;AD-171;6;18.5;3.04
Silver Antoninianus of Gordian III- Rome- AD 238 - AD 239. 1947.99.4 ;AD-238;1;24.0;4.12
Bronze AE3 of Constantine I- Antioch- AD 335 - AD 337. 1954.147.1 ;AD-335;7;15.0;2.04
Bronze AE3 of Valentinian I- Thessalonica- AD 364 - AD 367. 1948.19.808 ;AD-364;6;16.5;2.27
Bronze AE3 of Constantine I- Constantinople- AD 336 - AD 337. 1944.100.9375 ;AD-336;12;16.0;1.83
Bronze AE3 of Constantine I- Cyzicus- AD 328 - AD 329. 1944.100.8956 ;AD-328;5;17.5;3.14
Bronze Sestertius of Antoninus Pius- Rome- AD 140 - AD 144. 1960.164.15 ;AD-140;2;31.0;28.32
Silver Antoninianus of Allectus- Londinium- AD 293 - AD 296. 1957.159.68 ;AD-293;6;20.5;3.41
Bronze AE3 of Constantine I- Constantinople- AD 330 - AD 333. 1944.100.9239 ;AD-330;6;18.5;2.58
Silver Denarius of Antoninus Pius- Rome- AD 153 - AD 154. 1944.100.48167 ;AD-153;12;16.5;4.21
Bronze AE1 of Diocletian- Antioch- AD 300 - AD 301. 1944.100.4197 ;AD-300;11;27.0;10.14
Bronze Dupondius of Trajan- Rome- AD 114 - AD 117. 1948.19.1180 ;AD-114;6;26.0;12.86
Silver Antoninianus of Carus- Cyzicus- AD 282 - AD 283. 1944.100.36381 ;AD-282;5;21.0;4.14
Silver Denarius of Hadrian- Rome- AD 117. 1956.127.87 ;AD-117.;6;17.0;3.0
Bronze As of Trajan- Rome- AD 103 - AD 111. 1944.100.44744 ;AD-103;6;27.0;11.2
Bronze Sestertius of Marcus Aurelius- Rome- AD 161 - AD 176. 1946.35.42 ;AD-161;6;28.5;20.12
Silver Denarius of Antoninus Pius- Rome- AD 154 - AD 155. 1948.19.1264 ;AD-154;7;17.5;3.48
Silver Denarius of Augustus- Peloponnesus- 21 BC. 1944.100.39171 ;21-BC.;6;19.0;3.36
Silver Denarius of Augustus- Lugdunum- 9 BC. 1944.100.39112 ;9-BC.;5;18.5;3.83
Bronze AE3 of Constantine I- Antioch- AD 330 - AD 335. 1944.100.9070 ;AD-330;11;17.5;2.34
Silver Denarius of Antoninus Pius- Rome- AD 158 - AD 159. 1956.127.1889 ;AD-158;1;17.5;3.29
Silver Denarius of Hadrian- Rome- AD 119 - AD 122. 1944.100.44813 ;AD-119;6;17.5;3.16
Bronze AE1 of Diocletian- Heraclea- AD 296 - AD 297. 1944.100.3834 ;AD-296;12;27.0;8.9
