Nombre,Fecha,Axis,Diametro,Peso,Anverso,Reverso
Bronze AE1 of Maximian- Lugdunum- AD 301 - AD 303. 1960.170.3 ,AD-301,12,27.5,9.95,http://numismatics.org/collectionimages/19501999/1960/1960.170.3.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1960/1960.170.3.rev.width350.jpg
Bronze Triens- Rome- 211 B.C.. 1969.83.167 ,211-B.C..,5,26.0,11.89,http://numismatics.org/collectionimages/19501999/1969/1969.83.167.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1969/1969.83.167.rev.width350.jpg
Bronze Sestertius of Gordian III- Rome- AD 241 - AD 244. 1965.32.18 ,AD-241,11,27.0,12.57,http://numismatics.org/collectionimages/19501999/1965/1965.32.18.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1965/1965.32.18.rev.width350.jpg
Silver Denarius of Trajan- Rome- AD 114 - AD 117. 1947.2.451 ,AD-114,6,16.5,2.62,http://numismatics.org/collectionimages/19001949/1947/1947.2.451.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1947/1947.2.451.rev.width350.jpg
Bronze AE3 of Constantine I- Nicomedia- AD 325 - AD 326. 1965.32.4 ,AD-325,12,18.0,2.57,http://numismatics.org/collectionimages/19501999/1965/1965.32.4.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1965/1965.32.4.rev.width350.jpg
Bronze Sestertius of Trajan- Rome- AD 103 - AD 111. 1944.100.44713 ,AD-103,6,35.0,26.18,http://numismatics.org/collectionimages/19001949/1944/1944.100.44713.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.44713.rev.width350.jpg
Bronze As of Domitian- Rome- AD 87. 1944.100.42599 ,AD-87.,6,28.0,10.93,http://numismatics.org/collectionimages/19001949/1944/1944.100.42599.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.42599.rev.width350.jpg
Bronze AE2 of Maxentius- Carthage- AD 307. 1944.100.4039 ,AD-307.,6,23.5,6.86,http://numismatics.org/collectionimages/19001949/1944/1944.100.4039.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.4039.rev.width350.jpg
Bronze As of Marcus Aurelius- Rome- AD 178. 1951.61.76 ,AD-178.,1,25.0,10.24,http://numismatics.org/collectionimages/19501999/1951/1951.61.76.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1951/1951.61.76.rev.width350.jpg
Silver Denarius of Augustus- Rome- 19 BC - 4 BC. 1944.100.38316 ,19-BC,12,19.5,3.93,http://numismatics.org/collectionimages/19001949/1944/1944.100.38316.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.38316.rev.width350.jpg
Silver Denarius of Trajan- Rome- AD 114 - AD 117. 1956.127.1659 ,AD-114,6,20.0,3.18,http://numismatics.org/collectionimages/19501999/1956/1956.127.1659.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1956/1956.127.1659.rev.width350.jpg
